id,value
ROOT.VirtualLaboratory.ExperimentalLaboratory,164
ROOT.VirtualLaboratory.FieldLaboratory,165
ROOT.VirtualLaboratory.SemanticLaboratory,166
ROOT.ConceptualModel,
ROOT.ConceptualModel.GlobalConceptualModel,168
ROOT.ConceptualModel.LocalConceptualModel,169
ROOT.IV_Action,
ROOT.IV_Action.IV_AddMetadata,171
ROOT.IV_Action.IV_AnnotateEntity,172
ROOT.IV_Action.IV_AssignUniqueIdentifier,173
ROOT.IV_Action.IV_BuildConceptualModel,174
ROOT.IV_Action.IV_CarryOutBackup,175
ROOT.IV_Action.IV_CheckQuality,176
ROOT.IV_Action.IV_CiteData,177
ROOT.IV_Action.IV_ConvertData,178
ROOT.IV_Action.IV_DescribeService,179
ROOT.IV_Action.IV_FinalReview,180
ROOT.IV_Action.IV_PerformMapping,181
ROOT.IV_Action.IV_PerformMeasurementOrObservation,182
ROOT.IV_Action.IV_ProcessData,183
ROOT.IV_Action.IV_ProduceModel,184
ROOT.IV_Action.IV_PublishData,185
ROOT.IV_Action.IV_PublishMetadata,186
ROOT.IV_Action.IV_QueryEntity,187
ROOT.IV_Action.IV_RegisterMetadata,188
ROOT.IV_Action.IV_SetUpMappingRules,189
ROOT.IV_Action.IV_SpecifyInvestigationDesign,190
ROOT.IV_Action.IV_SpecifyMeasurementOrObservation,191
ROOT.IV_Action.IV_StoreData,192
ROOT.IV_Action.IV_TrackProvenance,193
ROOT.IV_Action.IV_VisualiseData,194
ROOT.IV_AnnotateEntity,
ROOT.IV_AnnotateEntity.IV_AnnotateAction,196
ROOT.IV_AnnotateEntity.IV_AnnotateData,197
ROOT.IV_AnnotateEntity.IV_AnnotateMetadata,198
ROOT.IV_ProcessData,
ROOT.IV_ProcessData.IV_DoDataMining,200
ROOT.IV_ProcessData.IV_QueryData,201
ROOT.IV_ProcessData.IV_QueryMetadata,202
ROOT.IV_ProcessData.IV_QueryProvenance,203
ROOT.IV_ProcessData.IV_ResolveAnnotation,204
ROOT.IV_QueryEntity,
ROOT.IV_QueryEntity.IV_QueryData,206
ROOT.IV_QueryEntity.IV_QueryMetadata,207
ROOT.IV_QueryEntity.IV_QueryProvenance,208
ROOT.IV_QueryEntity.IV_ResolveAnnotation,209
ROOT.RM_Classifier,
ROOT.RM_Classifier.LifecyclePhase,211
ROOT.Concept,
ROOT.Concept.LocalConcept,213
ROOT.IV_Object,
ROOT.IV_Object.PersistentData,215
ROOT.DataUseBehaviour,
ROOT.DataUseBehaviour.SV_CoCreate,217
ROOT.DataUseBehaviour.SV_Collaborate,218
ROOT.DataUseBehaviour.SV_Contribute,219
ROOT.DataUseBehaviour.SV_UserBehaviourTracking,220
ROOT.DataUseBehaviour.SV_UserGroupWorkSupport,221
ROOT.DataUseBehaviour.SV_UserProfileManagement,222
ROOT.DataUseBehaviour.SV_UserWorkingRelationshipsManagement,223
ROOT.DataUseBehaviour.SV_UserWorkingSpaceManagement,224
ROOT.DataProcessingBehaviour,
ROOT.DataProcessingBehaviour.SV_ComposeService,226
ROOT.DataProcessingBehaviour.SV_CoordinateService,227
ROOT.DataProcessingBehaviour.SV_CustomiseProcessingEnvironment,228
ROOT.DataProcessingBehaviour.SV_DescribeService,229
ROOT.DataProcessingBehaviour.SV_RegisterService,230
ROOT.DataCurationBehaviour,
ROOT.DataCurationBehaviour.SV_DataAnnotation,232
ROOT.DataCurationBehaviour.SV_DataIdentification,233
ROOT.DataCurationBehaviour.SV_DataPreservation,234
ROOT.DataCurationBehaviour.SV_DataProductGeneration,235
ROOT.DataCurationBehaviour.SV_DataQualityChecking,236
ROOT.DataCurationBehaviour.SV_DataReplication,237
ROOT.DataCurationBehaviour.SV_SelectOrBuildConceptualModel,238
ROOT.DataPublishingBehaviour,
ROOT.DataPublishingBehaviour.SV_DataCitation,240
ROOT.DataPublishingBehaviour.SV_DataDiscoveryAndAccess,241
ROOT.DataPublishingBehaviour.SV_DataPublication,242
ROOT.DataPublishingBehaviour.SV_MetadataHarvesting,243
ROOT.DataPublishingBehaviour.SV_SemanticHarmonisation,244
ROOT.DataAcquisitionBehaviour,
ROOT.DataAcquisitionBehaviour.SV_DataCollection,246
ROOT.DataAcquisitionBehaviour.SV_DesignExperiment,247
ROOT.DataAcquisitionBehaviour.SV_DesignMeasurementModel,248
ROOT.DataAcquisitionBehaviour.SV_InstrumentCalibration,249
ROOT.DataAcquisitionBehaviour.SV_InstrumentConfiguration,250
ROOT.PresentationObject,
ROOT.PresentationObject.ScienceGateway,252
ROOT.PresentationObject.irtualLaboratory,253
ROOT.BackendObject,
ROOT.BackendObject.SensorBackend,255
ROOT.BackendObject.SensorNetworkBackend,256
ROOT.BackendObject.ServiceRegistryBackend,257
ROOT.BackendObject.StorageSystemBackend,258
